,president1,date1,president2,date2,sim
348,James K. Polk,1847,Warren G. Harding,1922,0.338060538544
349,James K. Polk,1847,John Adams,1799,0.814974472215
350,James K. Polk,1847,John Tyler,1843,0.869757017192
351,James K. Polk,1847,William McKinley,1899,0.796118592462
352,James K. Polk,1847,Harry S Truman,1949,0.577320178291
353,James K. Polk,1847,Dwight D. Eisenhower,1957,0.492503756772
354,James K. Polk,1847,John F. Kennedy,1962,0.519820353054
355,James K. Polk,1847,Calvin Coolidge,1926,0.652810814576
356,James K. Polk,1847,Zachary Taylor,1849,0.72824333063
357,James K. Polk,1847,Grover Cleveland,1887,0.746522690215
358,James K. Polk,1847,Jimmy Carter,1979,0.443903249788
359,James K. Polk,1847,Andrew Johnson,1867,0.738138171108
360,James K. Polk,1847,George W. Bush,2005,0.36850835243
361,James K. Polk,1847,Benjamin Harrison,1891,0.670494653039
362,James K. Polk,1847,Martin Van Buren,1839,0.816529254656
363,James K. Polk,1847,James A. Garfield,1881,0.569313606817
364,James K. Polk,1847,Abraham Lincoln,1863,0.721943217262
365,James K. Polk,1847,George Washington,1793,0.765897443399
366,James K. Polk,1847,Chester Arthur,1883,0.792522610485
367,James K. Polk,1847,Thomas Jefferson,1805,0.720446767698
368,James K. Polk,1847,Ronald Reagan,1985,0.480581493215
369,Richard Nixon,1971,Franklin Pierce,1855,0.508356794801
370,Richard Nixon,1971,Bill Clinton,1997,0.652833365394
371,Richard Nixon,1971,Herbert Hoover,1931,0.607746843005
372,Richard Nixon,1971,William Howard Taft,1911,0.485678705843
373,Richard Nixon,1971,Andrew Jackson,1833,0.500867326866
374,Richard Nixon,1971,Millard Fillmore,1851,0.343808659261
375,Richard Nixon,1971,Gerald Ford,1975,0.798082729977
376,Richard Nixon,1971,Franklin D. Roosevelt,1939,0.698586418793
377,Richard Nixon,1971,James K. Polk,1847,0.508471890914
378,Richard Nixon,1971,Barack Obama,2012,0.667618531708
379,Richard Nixon,1971,James Madison,1813,0.562046743811
380,Richard Nixon,1971,James Buchanan,1859,0.51738784631
381,Richard Nixon,1971,Ulysses S. Grant,1873,0.55265605494
382,Richard Nixon,1971,Rutherford B. Hayes,1879,0.518685828452
383,Richard Nixon,1971,James Monroe,1821,0.505141457824
384,Richard Nixon,1971,Lyndon B. Johnson,1966,0.893601417361
385,Richard Nixon,1971,Theodore Roosevelt,1905,0.707191144972
386,Richard Nixon,1971,John Quincy Adams,1827,0.512082540072
387,Richard Nixon,1971,Woodrow Wilson,1917,0.674055088403
388,Richard Nixon,1971,George Bush,1991,0.695965164563
389,Richard Nixon,1971,Warren G. Harding,1922,0.450384227165
390,Richard Nixon,1971,John Adams,1799,0.536182155286
391,Richard Nixon,1971,John Tyler,1843,0.521966956018
392,Richard Nixon,1971,William McKinley,1899,0.599838709771
393,Richard Nixon,1971,Harry S Truman,1949,0.73217559383
394,Richard Nixon,1971,Dwight D. Eisenhower,1957,0.655749107862
395,Richard Nixon,1971,John F. Kennedy,1962,0.735119209572
396,Richard Nixon,1971,Calvin Coolidge,1926,0.602252466554
397,Richard Nixon,1971,Zachary Taylor,1849,0.453737090818
398,Richard Nixon,1971,Grover Cleveland,1887,0.542933376449
399,Richard Nixon,1971,Jimmy Carter,1979,0.668067126223
400,Richard Nixon,1971,Andrew Johnson,1867,0.800206657406
401,Richard Nixon,1971,George W. Bush,2005,0.601714459494
402,Richard Nixon,1971,Benjamin Harrison,1891,0.503156087268
403,Richard Nixon,1971,Martin Van Buren,1839,0.486868063992
404,Richard Nixon,1971,James A. Garfield,1881,0.476909900077
405,Richard Nixon,1971,Abraham Lincoln,1863,0.554410288073
406,Richard Nixon,1971,George Washington,1793,0.529394744726
407,Richard Nixon,1971,Chester Arthur,1883,0.50975365319
408,Richard Nixon,1971,Thomas Jefferson,1805,0.53882967037
409,Richard Nixon,1971,Ronald Reagan,1985,0.771360931965
410,Barack Obama,2012,Franklin Pierce,1855,0.405159292282
411,Barack Obama,2012,Bill Clinton,1997,0.783286824779
412,Barack Obama,2012,Herbert Hoover,1931,0.553803712275
413,Barack Obama,2012,William Howard Taft,1911,0.412795467341
414,Barack Obama,2012,Andrew Jackson,1833,0.397144408491
415,Barack Obama,2012,Millard Fillmore,1851,0.277683603051
416,Barack Obama,2012,Gerald Ford,1975,0.692944316602
417,Barack Obama,2012,Franklin D. Roosevelt,1939,0.623890616923
418,Barack Obama,2012,James K. Polk,1847,0.371102500506
419,Barack Obama,2012,Richard Nixon,1971,0.667618531708
420,Barack Obama,2012,James Madison,1813,0.441807716861
421,Barack Obama,2012,James Buchanan,1859,0.392985352505
422,Barack Obama,2012,Ulysses S. Grant,1873,0.434653016749
423,Barack Obama,2012,Rutherford B. Hayes,1879,0.418318731116
424,Barack Obama,2012,James Monroe,1821,0.37754721718
425,Barack Obama,2012,Lyndon B. Johnson,1966,0.640179732659
426,Barack Obama,2012,Theodore Roosevelt,1905,0.62155781924
427,Barack Obama,2012,John Quincy Adams,1827,0.390183326649
428,Barack Obama,2012,Woodrow Wilson,1917,0.561995621982
429,Barack Obama,2012,George Bush,1991,0.766297588943
